Disease_Name,Disease_Description,Species,Breed,Symptoms,Prevention_Measures
Parasitic Infections,"caused by various parasites that can affect their health.",cat, Indian Billi,"Scratching,biting,licking excessively","Regular deworming and flea/tick control, Keep living spaces clean."
Cataracts,"Cataracts are an ocular condition that affects the lens of the eye. The lens is a clear structure located behind the iris and is responsible for focusing light onto the retina. When the lens becomes cloudy or opaque, it interferes with the eye's ability to transmit clear images to the brain.",cat,Bengal Cat,"cloudy or hazy appearance in one or both eyes, Changes in Eye Color,  Squinting or Increased Blinking","surgical removal of the affected lens,  proper diet and regular exercise."
Hip Dysplasia,"the hip joint doesn't develop properly, leading to anabnormal fit between the ball of the femur and the socket in the pelvis.",cat,Bombay Cat,"Stiffness or limping in the hind legs, reluctance to jump, Difficulty rising or climbing stairs, Pain or discomfort when touched around the hip area","Gentle exercises and physical therapy, Some joint supplements, such as glucosamine and chondroitin, may help support joint health in cats."
brachycephalic syndrome,"Brachycephalic syndrome is a collection of respiratory problems and physical characteristics. This condition primarily affects the respiratory system and can cause a variety of issues",cat,Himalayan Cat,"Noisy Breathing, Difficulty Breathing, vomiting,swallowing difficulties","Keep your brachycephalic pet in a cool and well-ventilated environment,Weight Management, Use raised feeding dishes to reduce the strain on their neck"
panleukopenia,"highly contagious and potentially deadly viral disease primarily attacks rapidly dividing cells in a cat's body, particularly those in the bone marrow, gastrointestinal tract, and immune system.",cat,Bombay Cat,"loss of appetite,vomiting,diarrhea","medication to control vomiting and diarrhea, and maintaining a warm, clean environment. Infected cats should be isolated to prevent the spread of the virus."
progressive retinal atrophy, a genetic eye disorder that affects the retina of cats,cat,Bengal Cat,"difficulty seeing in low light,  pupils appear larger","Proper Nutrition -Omega-3 fatty acids, antioxidants, and vitamins A and E are essential for maintaining eye health, protective eyewear or goggles may be recommended to shield your cat's eyes from bright sunlight"
hypertrophic cardiomyopathy (HCM),"a genetic disease that causes the walls of the heart's left ventricle to thicken, making it harder for the heart to pump blood effectively.",cat,Bengal Cat,"Breathing Difficulty,lethargy,exercise intolerance,Coughing,Weakness,Weight Loss,Decreased Appetite","Feed your cat a balanced and appropriate diet to maintain overall health, Encourage regular, moderate exercise, Keep your cat away from tobacco smoke."
calicivirus,"common respiratory infection viruses responsible for causing feline upper respiratory tract infections (URIs).",cat,bombay Cat,"sneezing,nasal discharge,drooling,mouth ulcers,coughing","Vaccination,  proper cleaning and disinfection of living areas, antibiotics for secondary bacterial infections"
polycystic kidney disease,"development of fluid-filled cysts in the kidneys, which can lead to kidney dysfunction over time",cat,american Bobtail,"increased thirst and urination, loss of appetite, weight loss, lethargy, and eventually, kidney failure.","dietary changes, medications to control blood pressure and manage kidney function"
Hip dysplasias,"Hip dysplasia is a common skeletal condition where the hip joint doesn't develop properly, leading to instability and potential degeneration of the joint over time.",dog,Indian Pariah Dog,"Difficulty rising, jumping, or climbing stairs, Audible popping or clicking in the hip joint.","Regular Exercise,Schedule regular veterinary check-ups,Feed a well-balanced diet appropriate"
